video_name,frame_id,xmin,ymin,xmax,ymax,velocity,customer_id,x_floorplan,y_floorplan,new_customer_id,camera,x_floorplan_new,y_floorplan_new,time,customer_id_global
20220314_1.03_12_16_blurred,373,239.4812699,398.6882292,361.4704037,518.6478087,1.341,1191,-363.215192,-48.88513409,12161191,1.03,1108.831502,1412.988472,16:30:28,12161191
20220314_1.03_12_16_blurred,373,653.2315398,231.8434539,733.6758132,331.4661711,0.025,1192,-359.6030733,-48.18340339,12161192,1.03,1226.625543,1430.663827,16:30:28,12161192
20220314_1.03_12_16_blurred,374,160.3569405,400.3950325,292.4977441,545.5137508,1.368,1188,-363.7150809,-48.7511042,12161188,1.03,1092.52973,1416.364448,16:30:28,12161188
20220314_1.03_12_16_blurred,374,242.0815487,389.6097503,359.4492498,508.0622329,1.405,1191,-363.1980313,-48.73272749,12161191,1.03,1109.391125,1416.827325,16:30:28,12161191
20220314_1.03_12_16_blurred,374,653.3570832,231.9946706,733.5351899,331.3141864,0.026,1192,-359.6035774,-48.18448278,12161192,1.03,1226.609103,1430.636639,16:30:28,12161192
20220314_1.03_12_16_blurred,375,151.141057,388.8063657,287.5785998,541.6869653,1.339,1188,-363.7169151,-48.61897792,12161188,1.03,1092.469916,1419.692475,16:30:28,12161188
20220314_1.03_12_16_blurred,375,234.2743295,375.4106505,359.4137664,504.8400865,1.34,1191,-363.1911622,-48.59682378,12161191,1.03,1109.615133,1420.250498,16:30:28,12161191
20220314_1.03_12_16_blurred,375,653.4813182,232.0715848,733.3578361,331.0263069,0.026,1192,-359.6039967,-48.18534034,12161192,1.03,1226.59543,1430.615038,16:30:28,12161192
20220314_1.03_12_16_blurred,376,144.361139,376.7586949,287.0110122,542.1389957,1.328,1188,-363.7219461,-48.5206587,12161188,1.03,1092.30585,1422.168962,16:30:28,12161188
20220314_1.03_12_16_blurred,376,216.3549912,344.7998237,358.8244609,496.8432991,1.394,1191,-363.1912032,-48.44136019,12161191,1.03,1109.613796,1424.166351,16:30:28,12161191
